"Participant","Media","AOI","Total_duration_of_fixations","Number_of_fixations","Average_pupil_diameter","Subtitle_Type","Modality","Clip","Wordcount","Line","Prop_reading_time","Mean_fixation_duration"
"Participant1","E3-LC","SUB",99.84,480,4.40121,"AC","Interlingual","E3",819,55,0.4618053146465,208
"Participant1","C1-SDH","SUB",54.601,251,3.94793,"SDH","Intralingual","C1",479,61,0.240700575731126,217.533864541833
"Participant1","C2-ST","SUB",81.149,345,4.17708,"SS","Intralingual","C2",665,70,0.338908796284695,235.214492753623
"Participant1","C3-LC","SUB",88.167,484,3.89215,"AC","Intralingual","C3",772,118,0.329345097570451,182.163223140496
"Participant21","C1-SDH","SUB",91.332,347,4.5627,"SDH","Intralingual","C1",479,61,0.375904447535869,263.204610951009
"Participant21","C2-ST","SUB",114.562,455,4.19531,"SS","Intralingual","C2",665,70,0.458991566337467,251.784615384615
"Participant21","C3-LC","SUB",134.864,541,4.27264,"AC","Intralingual","C3",772,118,0.503158169642024,249.286506469501
"Participant2","E1-SDH","SUB",120.085,428,3.79798,"SDH","Interlingual","E1",566,60,0.530527943450409,280.572429906542
"Participant2","E2-ST","SUB",126.846,487,3.30445,"SS","Interlingual","E2",775,62,0.581243813922798,260.464065708419
"Participant2","E3-LC","SUB",134.144,512,3.56604,"AC","Interlingual","E3",819,55,0.477613640814205,262
"Participant24","C1-SDH","SUB",131.009,294,5.38397,"SDH","Intralingual","C1",479,61,0.45414648857952,445.608843537415
"Participant24","C2-ST","SUB",238.56,361,5.64829,"SS","Intralingual","C2",665,70,0.850899907976116,660.831024930748
"Participant24","C3-LC","SUB",297.262,367,5.56464,"AC","Intralingual","C3",772,118,0.90746241318782,809.978201634877
"Participant20","E1-SDH","SUB",66.651,248,3.46703,"SDH","Interlingual","E1",566,60,0.328404466036639,268.754032258065
"Participant20","E2-ST","SUB",51.562,166,3.49123,"SS","Interlingual","E2",775,62,0.238293742490064,310.614457831325
"Participant20","E3-LC","SUB",122.492,452,3.59469,"AC","Interlingual","E3",819,55,0.603064258847161,271
"Participant2","C1-SDH","SUB",89.182,366,3.42022,"SDH","Intralingual","C1",479,61,0.353964247158189,243.666666666667
"Participant2","C2-ST","SUB",117.469,438,3.18333,"SS","Intralingual","C2",665,70,0.472254272516393,268.194063926941
"Participant2","C3-LC","SUB",139.385,492,3.2818,"AC","Intralingual","C3",772,118,0.528718497276465,283.302845528455
"Participant25","E1-SDH","SUB",74.787,326,5.80351,"SDH","Interlingual","E1",566,60,0.450534952649461,229.407975460123
"Participant25","E2-ST","SUB",77.96,359,5.84894,"SS","Interlingual","E2",775,62,0.516986412196529,217.158774373259
"Participant25","E3-LC","SUB",96.35,470,5.84826,"AC","Interlingual","E3",819,55,0.507254769826896,205
"Participant24","E1-SDH","SUB",123.088,282,5.27643,"SDH","Interlingual","E1",566,60,0.49186013986014,436.482269503546
"Participant24","E2-ST","SUB",167.279,324,5.35665,"SS","Interlingual","E2",775,62,0.702124265992856,516.293209876543
"Participant24","E3-LC","SUB",273.294,482,5.52111,"AC","Interlingual","E3",819,55,0.779534835960363,567
"Participant20","C1-SDH","SUB",47.355,195,3.50901,"SDH","Intralingual","C1",479,61,0.224811648144016,242.846153846154
"Participant20","C2-ST","SUB",64.758,249,3.46237,"SS","Intralingual","C2",665,70,0.282832959181,260.072289156626
"Participant20","C3-LC","SUB",49.561,134,3.69848,"AC","Intralingual","C3",772,118,0.183438325844443,369.858208955224
"Participant25","C1-SDH","SUB",62.16,240,6.16016,"SDH","Intralingual","C1",479,61,0.278866946012149,259
"Participant25","C2-ST","SUB",72.901,304,6.15978,"SS","Intralingual","C2",665,70,0.405632031693393,239.805921052632
"Participant25","C3-LC","SUB",67.731,283,5.97786,"AC","Intralingual","C3",772,118,0.350988744481065,239.332155477032
"Participant11","E1-SDH","SUB",72.793,232,5.36599,"SDH","Interlingual","E1",566,60,0.350058909807882,313.762931034483
"Participant11","E2-ST","SUB",57.195,248,5.28971,"SS","Interlingual","E2",775,62,0.316975171802261,230.625
"Participant11","E3-LC","SUB",98.012,458,5.34637,"AC","Interlingual","E3",819,55,0.45445988491517,214
"Participant11","C1-SDH","SUB",81.667,196,5.41146,"SDH","Intralingual","C1",479,61,0.333521193483703,416.668367346939
"Participant11","C2-ST","SUB",104.906,194,5.20846,"SS","Intralingual","C2",665,70,0.400412221607283,540.752577319588
"Participant11","C3-LC","SUB",77.976,241,5.07572,"AC","Intralingual","C3",772,118,0.311672115945736,323.551867219917
"Participant31","E1-SDH","SUB",102.512,381,5.3213,"SDH","Interlingual","E1",566,60,0.460417695935325,269.060367454068
"Participant31","E2-ST","SUB",116.096,442,5.17205,"SS","Interlingual","E2",775,62,0.544800983585017,262.660633484163
"Participant31","E3-LC","SUB",121.73,518,5.45989,"AC","Interlingual","E3",819,55,0.56011852997069,235
"Participant3","C1-SDH","SUB",27.249,145,4.85311,"SDH","Intralingual","C1",479,61,0.167112315863067,187.924137931034
"Participant3","C2-ST","SUB",24.531,161,4.52618,"SS","Intralingual","C2",665,70,0.164716072759503,152.366459627329
"Participant3","C3-LC","SUB",15.991,112,4.66595,"AC","Intralingual","C3",772,118,0.0979024832247637,142.776785714286
"Participant3","E1-SDH","SUB",37.904,256,4.98609,"SDH","Interlingual","E1",566,60,0.318470160226518,148.0625
"Participant3","E2-ST","SUB",8.616,66,4.59023,"SS","Interlingual","E2",775,62,0.0915894208691215,130.545454545455
"Participant3","E3-LC","SUB",27.614,261,5.13264,"AC","Interlingual","E3",819,55,0.339597117347566,105.800766283525
"Participant32","E1-SDH","SUB",79.809,134,6.17211,"SDH","Interlingual","E1",566,60,0.471380729908038,595.589552238806
"Participant32","E2-ST","SUB",100.46,294,6.23953,"SS","Interlingual","E2",775,62,0.60351560153312,341.700680272109
"Participant32","E3-LC","SUB",91.324,251,6.14786,"AC","Interlingual","E3",819,55,0.570789269731743,363.840637450199
"Participant12","C1-SDH","SUB",58.625,317,4.09379,"SDH","Intralingual","C1",479,61,0.258149601271703,184.93690851735
"Participant12","C2-ST","SUB",98.574,477,3.82347,"SS","Intralingual","C2",665,70,0.486499291774217,206.654088050314
"Participant12","C3-LC","SUB",129.118,620,3.87395,"AC","Intralingual","C3",772,118,0.513851358073824,208.254838709677
"Participant31","C1-SDH","SUB",121.958,333,4.93317,"SDH","Intralingual","C1",479,61,0.434150196502819,366.24024024024
"Participant31","C2-ST","SUB",128.652,416,4.08343,"SS","Intralingual","C2",665,70,0.52792653051175,309.259615384615
