"Participant","Subtitle_Type","Language","Media","AOI","Average_duration_of_fixations","Total_duration_of_fixations","Number_of_fixations","Number_of_Visits","Average_pupil_diameter","Wordcount","Line"
"Participant29","ST","C","C1-ST","IMA",386,210995,546,69,3.30582,399,55
"Participant29","ST","C","C1-ST","SUB",312,70767,227,63,3.34152,399,55
"Participant29","LC","C","C2-LC","IMA",361,129737,359,29,3.04024,569,80
"Participant29","LC","C","C2-LC","SUB",327,61093,187,29,3.15587,569,80
"Participant29","SDH","C","C3-SDH","IMA",201,51781,257,87,2.88911,986,116
"Participant29","SDH","C","C3-SDH","SUB",247,109817,444,80,3.07538,986,116
"Participant47","ST","C","C1-ST","IMA",296,141007,476,107,4.8147,399,55
"Participant47","ST","C","C1-ST","SUB",361,65300,181,93,4.93333,399,55
"Participant47","LC","C","C2-LC","IMA",330,134010,406,92,4.7087,569,80
"Participant47","LC","C","C2-LC","SUB",254,53871,212,103,4.83563,569,80
"Participant47","SDH","C","C3-SDH","IMA",276,116064,420,151,4.35064,986,116
"Participant47","SDH","C","C3-SDH","SUB",219,84920,387,173,4.46233,986,116
"Participant7","ST","C","C1-ST","IMA",378,176341,466,57,6.18078,399,55
"Participant7","ST","C","C1-ST","SUB",334,103781,311,58,6.34156,399,55
"Participant7","LC","C","C2-LC","IMA",443,131562,297,44,5.73018,569,80
"Participant7","LC","C","C2-LC","SUB",341,142956,419,49,5.68716,569,80
"Participant7","SDH","C","C3-SDH","IMA",321,67027,209,86,5.55894,986,116
"Participant7","SDH","C","C3-SDH","SUB",334,230860,692,96,5.74295,986,116
"Participant41","ST","E","E1-ST","IMA",272,126346,465,75,4.89616,480,47
"Participant41","ST","E","E1-ST","SUB",190,40345,212,84,4.78604,480,47
"Participant41","LC","E","E2-LC","IMA",311,68660,395,106,4.72548,674,63
"Participant41","LC","E","E2-LC","SUB",215,47102,247,122,4.66301,674,63
"Participant41","SDH","E","E3-SDH","IMA",265,163234,615,96,4.74824,574,65
"Participant41","SDH","E","E3-SDH","SUB",174,47113,270,113,4.85781,574,65
"Participant7","ST","E","E1-ST","IMA",337,129028,383,55,6.32885,480,47
"Participant7","ST","E","E1-ST","SUB",296,109597,370,56,6.14952,480,47
"Participant7","LC","E","E2-LC","IMA",290,86549,478,99,5.79381,674,63
"Participant7","LC","E","E2-LC","SUB",263,157078,601,120,5.90392,674,63
"Participant7","SDH","E","E3-SDH","IMA",319,149385,468,76,5.43032,574,65
"Participant7","SDH","E","E3-SDH","SUB",259,101156,391,75,5.50131,574,65
"Participant35","ST","E","E1-ST","IMA",472,137465,291,51,4.55783,480,47
"Participant35","ST","E","E1-ST","SUB",440,96846,220,57,4.62935,480,47
"Participant35","LC","E","E2-LC","IMA",430,103089,419,137,4.11225,674,63
"Participant35","LC","E","E2-LC","SUB",332,107217,379,145,4.28354,674,63
"Participant35","SDH","E","E3-SDH","IMA",456,167845,368,82,4.06261,574,65
"Participant35","SDH","E","E3-SDH","SUB",337,87631,260,78,4.16391,574,65
"Participant48","ST","E","E1-ST","IMA",280,148511,531,70,6.3681,480,47
"Participant48","ST","E","E1-ST","SUB",175,55876,319,68,6.4325,480,47
"Participant48","LC","E","E2-LC","IMA",232,104651,500,149,6.03555,674,63
"Participant48","LC","E","E2-LC","SUB",179,87914,500,133,6.30705,674,63
"Participant48","SDH","E","E3-SDH","IMA",354,161905,457,90,5.84972,574,65
"Participant48","SDH","E","E3-SDH","SUB",211,72870,346,87,5.95897,574,65
"Participant43","ST","C","C1-ST","IMA",501,210117,419,65,4.93798,399,55
"Participant43","ST","C","C1-ST","SUB",300,67251,224,63,4.9232,399,55
"Participant43","LC","C","C2-LC","IMA",571,143935,252,59,5.22332,569,80
"Participant43","LC","C","C2-LC","SUB",307,121329,395,62,5.07842,569,80
"Participant43","SDH","C","C3-SDH","IMA",318,109798,345,122,4.61831,986,116
"Participant43","SDH","C","C3-SDH","SUB",249,175565,705,122,4.63119,986,116
"Participant17","ST","E","E1-ST","IMA",269,115562,430,66,5.74621,480,47
"Participant17","ST","E","E1-ST","SUB",265,67903,256,75,5.32379,480,47
"Participant17","LC","E","E2-LC","IMA",268,71618,447,144,4.93156,674,63
"Participant17","LC","E","E2-LC","SUB",272,132757,521,138,5.02988,674,63
"Participant17","SDH","E","E3-SDH","IMA",265,128560,485,88,5.16295,574,65
"Participant17","SDH","E","E3-SDH","SUB",243,78946,325,90,5.15952,574,65
"Participant35","ST","C","C1-ST","IMA",352,215045,611,79,4.11145,399,55
"Participant35","ST","C","C1-ST","SUB",264,59938,227,77,4.15037,399,55
"Participant35","LC","C","C2-LC","IMA",476,181770,382,80,4.26439,569,80
"Participant35","LC","C","C2-LC","SUB",329,99299,302,83,4.33357,569,80
"Participant35","SDH","C","C3-SDH","IMA",347,148148,427,160,3.85864,986,116
"Participant35","SDH","C","C3-SDH","SUB",277,147248,531,159,3.95198,986,116
"Participant17","ST","C","C1-ST","IMA",293,166282,568,80,4.70315,399,55
"Participant17","ST","C","C1-ST","SUB",310,100189,323,81,4.74947,399,55
"Participant17","LC","C","C2-LC","IMA",329,141525,430,82,4.87652,569,80
"Participant17","LC","C","C2-LC","SUB",294,120418,409,82,4.64318,569,80
"Participant17","SDH","C","C3-SDH","IMA",237,54538,230,98,4.38006,986,116
"Participant17","SDH","C","C3-SDH","SUB",313,231882,742,116,4.45084,986,116
"Participant8","ST","C","C1-ST","IMA",397,215951,544,62,5.60521,399,55
"Participant8","ST","C","C1-ST","SUB",332,67117,202,61,5.65369,399,55
"Participant8","LC","C","C2-LC","IMA",445,207822,467,51,5.42488,569,80
"Participant8","LC","C","C2-LC","SUB",356,57651,162,48,5.40401,569,80
"Participant8","SDH","C","C3-SDH","IMA",361,183349,508,94,4.87705,986,116
"Participant8","SDH","C","C3-SDH","SUB",247,102975,417,88,4.93085,986,116
"Participant8","ST","E","E1-ST","IMA",410,156102,381,52,6.00255,480,47
"Participant8","ST","E","E1-ST","SUB",287,73257,255,57,5.89094,480,47
"Participant8","LC","E","E2-LC","IMA",343,112359,428,112,5.58216,674,63
"Participant8","LC","E","E2-LC","SUB",283,134772,515,128,5.61496,674,63
"Participant8","SDH","E","E3-SDH","IMA",323,162387,503,65,5.60171,574,65
"Participant8","SDH","E","E3-SDH","SUB",208,38089,183,72,5.49649,574,65
"Participant48","ST","C","C1-ST","IMA",181,107667,594,94,5.65959,399,55
"Participant48","ST","C","C1-ST","SUB",157,52889,337,114,5.79379,399,55
"Participant48","LC","C","C2-LC","IMA",228,115918,508,71,5.70079,569,80
"Participant48","LC","C","C2-LC","SUB",149,44887,302,74,5.78452,569,80
"Participant48","SDH","C","C3-SDH","IMA",160,58879,368,114,5.59494,986,116
"Participant48","SDH","C","C3-SDH","SUB",137,48528,353,145,5.83704,986,116
"Participant43","ST","E","E1-ST","IMA",441,155318,352,65,5.26022,480,47
"Participant43","ST","E","E1-ST","SUB",290,88207,304,65,4.99116,480,47
"Participant43","LC","E","E2-LC","IMA",376,87543,386,115,4.9111,674,63
"Participant43","LC","E","E2-LC","SUB",274,156130,584,106,4.88286,674,63
"Participant43","SDH","E","E3-SDH","IMA",417,157231,377,76,4.79391,574,65
"Participant43","SDH","E","E3-SDH","SUB",308,96182,312,75,4.86966,574,65
"Participant34","ST","C","C1-ST","IMA",170,111929,660,58,3.6958,399,55
"Participant34","ST","C","C1-ST","SUB",162,43580,269,57,3.99386,399,55
"Participant34","LC","C","C2-LC","IMA",238,136034,572,76,3.61173,569,80
"Participant34","LC","C","C2-LC","SUB",171,69079,404,71,3.78017,569,80
"Participant34","SDH","C","C3-SDH","IMA",192,81818,427,114,3.59176,986,116
"Participant34","SDH","C","C3-SDH","SUB",137,100202,730,121,3.68151,986,116
"Participant18","ST","C","C1-ST","IMA",404,199806,494,67,4.28787,399,55
"Participant18","ST","C","C1-ST","SUB",332,87544,264,66,4.41836,399,55
"Participant18","LC","C","C2-LC","IMA",640,195255,305,70,4.34312,569,80
"Participant18","LC","C","C2-LC","SUB",454,92251,203,79,4.26417,569,80
"Participant18","SDH","C","C3-SDH","IMA",463,134674,291,110,3.8825,986,116
"Participant18","SDH","C","C3-SDH","SUB",319,180885,567,107,3.94483,986,116
"Participant9","ST","E","E1-ST","IMA",222,49283,222,26,5.82083,480,47
"Participant9","ST","E","E1-ST","SUB",126,8333,66,24,5.42001,480,47
"Participant9","LC","E","E2-LC","IMA",166,38959,274,77,5.79207,674,63
"Participant9","LC","E","E2-LC","SUB",147,25901,189,86,5.90792,674,63
"Participant9","SDH","E","E3-SDH","IMA",279,158044,566,45,5.62183,574,65
"Participant9","SDH","E","E3-SDH","SUB",210,12582,60,39,5.70992,574,65
"Participant42","ST","E","E1-ST","IMA",457,233082,510,20,4.40223,480,47
"Participant42","ST","E","E1-ST","SUB",277,19924,72,20,4.30772,480,47
"Participant42","LC","E","E2-LC","IMA",313,142543,456,63,4.28806,674,63
"Participant42","LC","E","E2-LC","SUB",234,84095,401,62,4.2633,674,63
"Participant42","SDH","E","E3-SDH","IMA",367,219714,598,47,4.07891,574,65
"Participant42","SDH","E","E3-SDH","SUB",198,27864,141,39,4.13284,574,65
"Participant37","ST","E","E1-ST","IMA",249,115187,462,36,4.20186,480,47
"Participant37","ST","E","E1-ST","SUB",165,34904,211,51,3.92533,480,47
"Participant37","LC","E","E2-LC","IMA",237,71709,383,25,3.76575,674,63
"Participant37","LC","E","E2-LC","SUB",160,52531,377,89,3.8649,674,63
"Participant37","SDH","E","E3-SDH","IMA",221,101437,459,106,3.99094,574,65
"Participant37","SDH","E","E3-SDH","SUB",146,33972,233,51,4.01924,574,65
"Participant18","ST","E","E1-ST","IMA",430,137657,320,57,4.84158,480,47
"Participant18","ST","E","E1-ST","SUB",318,103441,325,57,4.68845,480,47
"Participant18","LC","E","E2-LC","IMA",466,96917,208,103,4.24174,674,63
"Participant18","LC","E","E2-LC","SUB",359,111629,327,99,4.27733,674,63
"Participant18","SDH","E","E3-SDH","IMA",388,181272,467,69,4.17865,574,65
"Participant18","SDH","E","E3-SDH","SUB",263,76826,292,68,4.24977,574,65
"Participant9","ST","C","C1-ST","IMA",164,22530,137,24,4.78456,399,55
"Participant9","ST","C","C1-ST","SUB",156,8248,53,23,4.66677,399,55
"Participant9","LC","C","C2-LC","IMA",165,71866,435,30,4.90094,569,80
"Participant9","LC","C","C2-LC","SUB",238,2141,9,8,4.95326,569,80
"Participant9","SDH","C","C3-SDH","IMA",159,4599,29,8,4.83746,986,116
"Participant9","SDH","C","C3-SDH","SUB",150,900,6,3,5.09376,986,116
"Participant34","ST","E","E1-ST","IMA",251,130620,521,65,4.2316,480,47
"Participant34","ST","E","E1-ST","SUB",139,39021,280,70,4.13233,480,47
"Participant34","LC","E","E2-LC","IMA",227,80579,411,98,4.16571,674,63
"Participant34","LC","E","E2-LC","SUB",135,60796,482,108,4.22709,674,63
"Participant34","SDH","E","E3-SDH","IMA",236,139098,589,80,4.00912,574,65
"Participant34","SDH","E","E3-SDH","SUB",156,52035,333,86,4.12948,574,65
"Participant42","ST","C","C1-ST","IMA",303,235881,779,49,4.20704,399,55
"Participant42","ST","C","C1-ST","SUB",251,37945,151,47,4.24723,399,55
"Participant42","LC","C","C2-LC","IMA",406,261773,645,32,4.08833,569,80
"Participant42","LC","C","C2-LC","SUB",266,11716,54,31,4.08294,569,80
"Participant42","SDH","C","C3-SDH","IMA",382,278224,729,36,4.01292,986,116
"Participant42","SDH","C","C3-SDH","SUB",228,20782,91,40,3.93491,986,116
"Participant37","ST","C","C1-ST","IMA",210,149852,715,53,3.52673,399,55
"Participant37","ST","C","C1-ST","SUB",161,50783,316,56,3.56489,399,55
"Participant37","LC","C","C2-LC","IMA",254,125593,495,52,3.42297,569,80
"Participant37","LC","C","C2-LC","SUB",149,59602,401,61,3.42975,569,80
"Participant37","SDH","C","C3-SDH","IMA",223,84490,379,72,3.25948,986,116
"Participant37","SDH","C","C3-SDH","SUB",149,99865,671,82,3.39958,986,116
