Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording5	Participant35	G8-1	E1-ST	1	E1-ST	IMA	281545	435505		137465	472	29	2291	291	0	191	IMA	IMA	4.55783	121123	462	67	2258	262	1578	267	4.5604	152313	2987	208	41829	51	0	949	153805	3016	225	41829	51	0	949	0			0			186	11927	11336	350.33	218.77													
Recording5	Participant35	G8-1	E1-ST	1	E1-ST	SUB	281545	435505		96846	440	67	5874	220	1370	92	IMA	IMA	4.62935	67482	331	67	1984	204	1370	92	4.61179	104904	1840	92	21298	57	1370	92	107171	1880	117	21298	57	1345	117	0			0			142	11336	11927	218.77	350.33													
Recording5	Participant35	G8-1	E2-LC	1	E2-LC	IMA	269781	759025		103089	430	67	6224	419	708	116	IMA	IMA	4.11225	88055	398	67	4016	221	850	209	4.13129	122404	1873	79	24914	137	708	2270	114645	1911	117	24964	60	708	2270	0			0			148	8603	2979	197.81	58.91													
Recording5	Participant35	G8-1	E2-LC	1	E2-LC	SUB	269781	759025		107217	332	67	3733	379	2995	358	IMA	IMA	4.28354	69337	298	67	2450	233	2995	358	4.27421	104575	1268	67	11591	145	2995	358	95314	1306	75	11608	73	2979	375	0			0			150	2979	8603	58.91	197.81													
Recording5	Participant35	G8-1	E3-SDH	1	E3-SDH	IMA	292843	59328		167845	456	66	3833	368	0	178	IMA		4.06261	134446	447	66	2766	301	2561	209	4.07576	184493	2754	200	18406	82	0	1652	187368	2797	217	18465	67	0	1652	0			0			231	2519	1652	227.81	236.49													
Recording5	Participant35	G8-1	E3-SDH	1	E3-SDH	SUB	292843	59328		87631	337	66	3608	260	1694	133	IMA		4.16391	79516	333	66	3608	239	1694	133	4.14831	97515	1434	83	10266	78	1694	825	100531	1478	117	10307	68	1652	867	0			0			168	1652	2519	236.49	227.81													
Recording5	Participant35	G8-1	Entire Recording	1	AF1,AF2,AF3,age,deafness,E1-ST,E2-LC,E3-SDH,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	IMA	1083829	0	2	137465	472	29	2291	291	435505	191	IMA		4.55783	121123	462	67	2258	262	437083	267	4.5604	152313	2987	208	41829	51	435505	949	153805	3016	225	41829	51	435505	949	0			0			186	447432	446841	350.33	218.77													
Recording5	Participant35	G8-1	Entire Recording	1	AF1,AF2,AF3,age,deafness,E1-ST,E2-LC,E3-SDH,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	IMA	1083829	0	2	103089	430	67	6224	240	759733	116	IMA		4.11225	88055	398	67	4016	221	759874	209	4.13129	112404	1873	79	24914	60	759733	2270	114645	1911	117	24964	60	759733	2270	0			0			148	767628	762004	197.81	58.91													
Recording5	Participant35	G8-1	Entire Recording	1	AF1,AF2,AF3,age,deafness,E1-ST,E2-LC,E3-SDH,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	IMA	1083829	0	2	167845	456	66	3833	368	59328	178	IMA		4.06261	134446	447	66	2766	301	61889	209	4.07576	184493	2754	200	18406	67	59328	1652	187368	2797	217	18465	67	59328	1652	0			0			231	61847	60981	227.81	236.49													
Recording5	Participant35	G8-1	Entire Recording	1	AF1,AF2,AF3,age,deafness,E1-ST,E2-LC,E3-SDH,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	SUB	1083829	0	2	96846	440	67	5874	220	436875	92	IMA		4.62935	67482	331	67	1984	204	436875	92	4.61179	104904	1840	92	21298	57	436875	92	107171	1880	117	21298	57	436850	117	0			0			142	446841	447432	218.77	350.33													
