Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording3	Participant16	G7-1	C1-ST	1	C1-ST	SUB	323620	460416		84889	551	83	10741	154	2548	258	IMA	IMA	4.60131	80382	554	83	10741	145	2548	258	4.61944	87732	1567	108	24439	56	2548	258	89840	1604	108	24481	56	2497	308	0			0			91	2497	11722	231.8	259.82													
Recording3	Participant16	G7-1	C2-LC	1	C2-LC	IMA	314305	87140		169914	563	67	5524	302	0	466	SUB	SUB	4.68667	137095	546	75	5524	251	524	325	4.70115	181914	3713	150	47412	49	0	849	183981	3755	175	47420	49	0	849	0			0			206	1066	849	292.53	232.14													
Recording3	Participant16	G7-1	C2-LC	1	C2-LC	SUB	314305	87140		116275	727	67	6116	160	891	175	SUB	SUB	4.59674	96431	709	83	6116	136	891	175	4.6081	122058	2219	88	16298	55	891	175	124175	2258	125	16348	55	849	217	0			0			85	849	1066	232.14	292.53													
Recording3	Participant16	G7-1	C3-SDH	1	C3-SDH	IMA	350631	794868		127335	398	13	3500	320	0	38	IMA	IMA	4.04007	104673	409	67	3500	256	437	242	4.0568	140387	2379	133	14782	59	0	2046	142836	2421	166	14790	59	0	2046	0			0			199	6379	8553	230.13	306.88													
Recording3	Participant16	G7-1	C3-SDH	1	C3-SDH	SUB	350631	794868		158208	795	67	13332	199	2121	150	IMA	IMA	4.34746	126203	697	67	13332	181	2121	150	4.31861	164300	2650	133	20156	62	2121	425	166907	2692	150	20156	62	2104	442	0			0			118	8553	2546	306.88	238.18													
Recording3	Participant16	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	1157382	0	1	127335	398	13	3500	320	794868	38	IMA		4.04007	104673	409	67	3500	256	795305	242	4.0568	140387	2379	133	14782	59	794868	2046	142836	2421	166	14790	59	794868	2046	0			0			199	801246	803421	230.13	306.88													
Recording3	Participant16	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	1157382	0	1	203333	427	67	2641	476	460416	114	IMA		4.29053	172700	423	67	2641	408	462014	225	4.29868	224081	3557	200	23248	63	460416	2497	226506	3595	242	23298	63	460416	2497	0			0			318	472138	462914	259.82	231.8													
Recording3	Participant16	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	1157382	0	1	169914	563	67	5524	302	87140	466	IMA		4.68667	137095	546	75	5524	251	87664	325	4.70115	181914	3713	150	47412	49	87140	849	183999	3755	175	47420	49	87122	867	0			0			206	88205	87989	292.53	232.14													
Recording3	Participant16	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	1157382	0	1	158208	795	67	13332	199	796988	150	IMA		4.34746	126203	697	67	13332	181	796988	150	4.31861	164300	2650	133	20156	62	796988	425	166907	2692	150	20156	62	796972	442	0			0			118	803421	797413	306.88	238.18													
Recording3	Participant16	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	1157382	0	1	84889	551	83	10741	154	462964	258	IMA		4.60131	80382	554	83	10741	145	462964	258	4.61944	87732	1567	108	24439	56	462964	258	89840	1604	108	24481	56	462914	308	0			0			91	462914	472138	231.8	259.82													
Recording3	Participant16	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	1157382	0	1	116275	727	67	6116	160	88031	175	IMA		4.59674	96431	709	83	6116	136	88031	175	4.6081	122058	2219	88	16298	55	88031	175	124175	2258	125	16348	55	87989	217	0			0			85	87989	88205	232.14	292.53													
Recording6	Participant29	G7-2	E1-ST	1	E1-ST	IMA	281528	822006		124735	301	66	1667	414	829	83	IMA	IMA	3.35565	103942	300	66	1667	347	829	83	3.35325	144233	1923	109	44420	75	829	2408	147584	1968	134	44437	75	812	2425	0			0			254	8511	3237	319.46	336.75													
Recording6	Participant29	G7-2	E1-ST	1	E1-ST	SUB	281528	822006		104937	258	66	1583	407	8369	142	IMA	IMA	3.33773	94828	265	66	1583	358	8369	142	3.35166	117552	1610	92	9682	73	8369	142	120528	1651	100	9732	73	8353	158	0			0			285	12777	8511	338.03	319.46													
Recording6	Participant29	G7-2	E2-LC	1	E2-LC	IMA	269797	484739		118673	462	67	6933	435	1922	141	SUB		3.2931	70260	368	67	2350	191	3989	250	3.21856	128796	2763	84	20056	90	1922	333	120512	2803	100	20106	43	1864	391	0			0			138	5381	4989	515.32	381.94													
Recording6	Participant29	G7-2	E2-LC	1	E2-LC	SUB	269797	484739		136375	299	67	4366	513	3185	167	SUB		3.24668	102611	294	67	4366	349	3185	167	3.24327	138227	2982	141	9899	114	3185	167	129869	3020	175	9915	43	3168	184	0			0			292	5797	6206	294.53	362.37													
Recording6	Participant29	G7-2	E3-SDH	1	E3-SDH	IMA	292809	66605		166484	317	44	3400	526	0	112	IMA	IMA	3.21734	156722	323	66	3400	485	762	100	3.22149	187204	2836	83	26097	81	0	1937	190252	2883	125	26164	66	0	1937	0			0			369	3420	1937	166.17	260.46													
