Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording7	Participant31	G3-1	E1-SDH	1	E1-SDH	IMA	281561	971208		120138	343	66	2500	350	3441	150	IMA	IMA	5.18673	96486	352	66	2500	274	3441	150	5.19824	135219	1519	75	11799	93	3441	433	138737	1559	100	11841	89	3424	450	0			0			186	4991	5274	387.11	375.26													
Recording7	Participant31	G3-1	E1-SDH	1	E1-SDH	SUB	281561	971208		102512	269	66	3341	381	3916	100	IMA	IMA	5.3213	90690	270	66	3341	336	3916	100	5.31778	121091	1408	83	7266	101	3916	1075	124141	1444	92	7283	86	3891	1100	0			0			168	5274	4991	375.26	387.11													
Recording7	Participant31	G3-1	E2-ST	1	E2-ST	IMA	270231	615961		97002	369	67	3933	263	2951	166	SUB	SUB	4.98496	60572	324	67	1308	187	3142	608	4.95556	109631	1482	83	8591	74	2951	1524	112523	1521	117	8599	74	2951	1524	0			0			126	4867	4475	170.59	58.23													
Recording7	Participant31	G3-1	E2-ST	1	E2-ST	SUB	270231	615961		116096	263	66	3158	442	4509	66	SUB	SUB	5.17205	96796	264	67	3158	366	5584	375	5.1852	139617	1862	68	12104	75	4509	358	142367	1898	85	12121	75	4475	392	0			0			202	4475	4867	58.23	170.59													
Recording7	Participant31	G3-1	E3-LC	1	E3-LC	IMA	291876	209157		95599	329	67	2880	360	0	76	IMA	IMA	5.19344	53211	302	67	2033	176	284	217	5.16027	104947	1566	91	10232	99	0	6392	107297	1601	100	10274	67	0	6392	0			0			108	11041	6392	162.03	388.25													
Recording7	Participant31	G3-1	E3-LC	1	E3-LC	SUB	291876	209157		121730	235	66	1358	518	6458	208	IMA	IMA	5.45989	101798	228	66	1317	446	6458	208	5.44662	177122	2847	75	30743	142	6458	208	166656	2873	125	30751	58	6392	275	0			0			219	6392	24198	388.25	208.48													
Recording7	Participant31	G3-1	Entire Recording	1	AF1,AF2,AF3,age,deafness,E1-SDH,E2-ST,E3-LC,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1310887	0	1	120138	343	66	2500	350	974649	150	IMA		5.18673	96486	352	66	2500	274	974649	150	5.19824	135219	1519	75	11799	89	974649	433	138737	1559	100	11841	89	974632	450	0			0			186	976199	976482	387.11	375.26													
Recording7	Participant31	G3-1	Entire Recording	1	AF1,AF2,AF3,age,deafness,E1-SDH,E2-ST,E3-LC,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1310887	0	1	97002	369	67	3933	263	618912	166	IMA		4.98496	60572	324	67	1308	187	619103	608	4.95556	109631	1482	83	8591	74	618912	1524	112523	1521	117	8599	74	618912	1524	0			0			126	620828	620436	170.59	58.23													
Recording7	Participant31	G3-1	Entire Recording	1	AF1,AF2,AF3,age,deafness,E1-SDH,E2-ST,E3-LC,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1310887	0	1	85599	329	67	2880	260	209157	76	IMA		5.19344	53211	302	67	2033	176	209441	217	5.16027	104947	1566	91	10232	67	209157	6392	107297	1601	100	10274	67	209157	6392	0			0			108	220198	215549	162.03	388.25													
Recording7	Participant31	G3-1	Entire Recording	1	AF1,AF2,AF3,age,deafness,E1-SDH,E2-ST,E3-LC,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	SUB	1310887	0	1	102512	269	66	3341	381	975124	100	IMA		5.3213	90690	270	66	3341	336	975124	100	5.31778	121091	1408	83	7266	86	975124	1075	124141	1444	92	7283	86	975099	1100	0			0			168	976482	976199	375.26	387.11													
