Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording2	Participant2	G2-2	E1-SDH	1	E1-SDH	IMA	281528	864641		106265	366	67	1641	290	0	179	IMA	IMA	3.78286	69861	331	67	1075	211	230	75	3.81163	124161	2035	158	19081	61	0	4070	126669	2077	208	19090	61	0	4070	0			0			142	5812	25293	287.42	371.01													
Recording2	Participant2	G2-2	E1-SDH	1	E1-SDH	SUB	281528	864641		120085	281	66	1708	428	4146	125	IMA	IMA	3.79798	106280	286	66	1708	371	4287	292	3.80438	143370	2389	192	9824	74	4146	1666	145379	2423	200	9841	60	4146	1666	0			0			271	25293	5812	371.01	287.42													
Recording2	Participant2	G2-2	E2-ST	1	E2-ST	IMA	270264	110506		91386	346	58	1583	264	250	184	IMA	IMA	3.25181	65391	334	66	1583	196	1542	616	3.27002	104946	1640	117	10199	64	250	4283	107613	1681	175	10215	64	200	4333	0			0			139	10999	4533	330.41	367.88													
Recording2	Participant2	G2-2	E2-ST	1	E2-ST	SUB	270264	110506		126846	260	66	1158	487	100	100	IMA	IMA	3.30445	108971	258	66	1025	422	4575	133	3.30082	150911	2358	100	16690	64	100	100	153035	2391	150	16698	64	50	150	0			0			333	4533	10999	367.88	330.41													
Recording2	Participant2	G2-2	E3-LC	1	E3-LC	IMA	291843	479083		146719	378	52	1941	500	0	52	IMA	IMA	3.47005	88290	342	75	1433	258	77	183	3.47459	156899	3076	150	22458	99	0	22458	158941	3116	158	22458	51	0	22458	0			0			196	35615	25999	393.34	297.89													
Recording2	Participant2	G2-2	E3-LC	1	E3-LC	SUB	291843	479083		134144	262	66	1658	512	22666	83	IMA	IMA	3.56604	91221	275	67	1658	332	22766	534	3.58159	134721	2454	92	11291	123	22666	975	124206	2484	117	11333	50	22666	975	0			0			259	25999	35615	297.89	393.34													
Recording2	Participant2	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	IMA	1233087	0	2	91386	346	58	1583	264	110756	184	IMA		3.25181	65391	334	66	1583	196	112048	616	3.27002	104946	1640	117	10199	64	110756	4283	107613	1681	175	10215	64	110706	4333	0			0			139	121505	115039	330.41	367.88													
Recording2	Participant2	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	IMA	1233087	0	2	134739	378	52	1941	356	479083	52	IMA		3.47005	88290	342	75	1433	258	479160	183	3.47459	156899	3076	150	22458	51	479083	22458	158941	3116	158	22458	51	479083	22458	0			0			196	514698	505082	393.34	297.89													
Recording2	Participant2	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	IMA	1233087	0	2	106265	366	67	1641	290	864641	179	IMA		3.78286	69861	331	67	1075	211	864871	75	3.81163	124161	2035	158	19081	61	864641	4070	126669	2077	208	19090	61	864641	4070	0			0			142	870453	889934	287.42	371.01													
Recording2	Participant2	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	SUB	1233087	0	2	126846	260	66	1158	487	110606	100	IMA		3.30445	108971	258	66	1025	422	115081	133	3.30082	150911	2358	100	16690	64	110606	100	153035	2391	150	16698	64	110556	150	0			0			333	115039	121505	367.88	330.41													
Recording2	Participant2	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	SUB	1233087	0	2	103040	262	66	1658	393	501749	83	IMA		3.56604	91221	275	67	1658	332	501849	534	3.58159	122714	2454	92	11291	50	501749	975	124206	2484	117	11333	50	501749	975	0			0			259	505082	514698	297.89	393.34													
Recording2	Participant2	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	SUB	1233087	0	2	120085	281	66	1708	428	868787	125	IMA		3.79798	106280	286	66	1708	371	868928	292	3.80438	143370	2389	192	9824	60	868787	1666	145379	2423	200	9841	60	868787	1666	0			0			271	889934	870453	371.01	287.42													
Recording8	Participant23	G2-2	E1-SDH	1	E1-SDH	IMA	281528	1068910		35224	198	66	1417	178	3969	92	IMA		4.90998	30550	201	66	1417	152	3969	92	4.90621	89296	3189	92	20537	28	3969	92	89963	3213	92	20620	28	3960	100	0			0			50	159155	4060	57.24	342.84													
Recording8	Participant23	G2-2	E1-SDH	1	E1-SDH	SUB	281528	1068910		5140	177	66	450	29	4119	150	IMA		4.79541	3849	192	66	400	20	4119	150	4.83919	6798	378	66	1125	18	4119	467	7449	414	66	1142	18	4060	525	0			0			6	4060	157455	342.84	39.02													
Recording8	Participant23	G2-2	E2-ST	1	E2-ST	IMA	270247	744524		30107	203	66	2391	148	605	83	SUB		4.68633	28591	210	66	2391	136	871	125	4.69525	50046	1430	67	11257	35	605	3841	50894	1454	83	11273	35	589	3857	0			0			35		4446		256.41													
Recording8	Participant23	G2-2	E2-ST	1	E2-ST	SUB	270247	744524		9240	189	66	800	49	4496	92	SUB		4.57597	8840	196	66	800	45	4496	92	4.57119	22914	1042	67	11515	22	4496	1008	23573	1071	83	11515	22	4446	1058	0			0			14	4446	108858	256.41	68.1													
Recording8	Participant23	G2-2	E3-LC	1	E3-LC	IMA	291893	394942		100727	289	66	2642	349	24	308	SUB		4.8779	87104	278	66	2642	313	641	450	4.87494	154722	4072	67	24531	38	24	24531	155796	4100	83	24555	38	0	24555	0			0			139	32738	26805	203.52	168.96													
Recording8	Participant23	G2-2	E3-LC	1	E3-LC	SUB	291893	394942		17690	208	67	917	85	24647	417	SUB		4.60979	16966	209	67	917	81	24647	417	4.58921	20231	653	84	2408	31	24647	417	21540	695	117	2467	31	24622	441	0			0			43	26805	32738	168.96	203.52													
Recording8	Participant23	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1407244	0	3	30107	203	66	2391	148	745128	83	IMA		4.68633	28591	210	66	2391	136	745395	125	4.69525	50046	1430	67	11257	35	745128	3841	50894	1454	83	11273	35	745112	3857	0			0			35		748970		256.41													
Recording8	Participant23	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1407244	0	3	100727	289	66	2642	349	394967	308	IMA		4.8779	87104	278	66	2642	313	395584	450	4.87494	154722	4072	67	24531	38	394967	24531	155821	4101	83	24581	38	394917	24581	0			0			139	394917	421748	152.6	168.96													
Recording8	Participant23	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1407244	0	3	35224	198	66	1417	178	1072878	92	IMA		4.90998	30550	201	66	1417	152	1072878	92	4.90621	89296	3189	92	20537	28	1072878	92	89963	3213	92	20620	28	1072870	100	0			0			50	1228065	1072970	57.24	342.84													
Recording8	Participant23	G2-2	Entire Recording	1	AF1,AF3,E1-SDH,E2-ST,E3-LC,EE1,EE2,EE3,EF2,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	SUB	1407244	0	3	9240	189	66	800	49	749020	92	IMA		4.57597	8840	196	66	800	45	749020	92	4.57119	22914	1042	67	11515	22	749020	1008	23573	1071	83	11515	22	748970	1058	0			0			14	748970	853382	256.41	68.1													
