Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording6	Participant19	G1-2	C1-SDH	1	C1-SDH	IMA	323670	461063		180905	308	66	2325	588	11858	108	IMA		4.83507	144961	310	67	2325	468	11858	108	4.84125	205327	2013	83	18931	117	11858	608	209463	2054	92	18998	102	11849	617	0			0			365	13649	12466	189.49	211.92													
Recording6	Participant19	G1-2	C1-SDH	1	C1-SDH	SUB	323670	461063		83409	253	66	1275	330	11203	130	IMA		4.92839	72648	253	66	1275	287	11349	208	4.93116	91176	930	108	3683	109	11203	530	95253	972	108	3733	98	11203	530	0			0			201	12466	13649	211.92	189.49													
Recording6	Participant19	G1-2	C2-ST	1	C2-ST	IMA	314472	826908		134622	329	75	1650	409	1735	225	IMA		4.70417	114367	330	75	1650	347	1735	225	4.71986	149398	1717	133	20281	87	1735	2329	153277	1762	141	20348	87	1685	2379	0			0			264	5214	4064	214.29	298.41													
Recording6	Participant19	G1-2	C2-ST	1	C2-ST	SUB	314472	826908		119485	274	66	983	436	4106	108	IMA		4.65066	105106	273	66	983	385	4106	108	4.64902	136068	1601	150	10366	85	4106	1108	140233	1650	192	10408	85	4064	1150	0			0			298	4064	5214	298.41	214.29													
Recording6	Participant19	G1-2	C3-LC	1	C3-LC	IMA	353681	46911		151789	310	4	2116	490	166	116	IMA	IMA	4.6441	125227	312	67	2116	401	333	641	4.64841	170121	1079	67	7166	154	166	6524	173369	1126	83	7216	154	166	6524	0			0			272	14073	6690	397.43	483.05													
Recording6	Participant19	G1-2	C3-LC	1	C3-LC	SUB	353681	46911		151111	267	67	1808	566	0	124	IMA	IMA	4.73574	127781	268	67	1808	477	6749	92	4.73378	167414	1041	124	3850	157	0	124	170876	1088	124	3883	157	0	124	0			0			351	6690	14073	483.05	397.43													
Recording6	Participant19	G1-2	Entire Recording	1	AF1,AF2,AF3,C1-SDH,C2-ST,C3-LC,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD	IMA	1178141	0	1	180905	308	66	2325	588	472921	108	IMA		4.83507	144961	310	67	2325	468	472921	108	4.84125	205327	2013	83	18931	102	472921	608	209463	2054	92	18998	102	472912	617	0			0			365	474712	473529	189.49	211.92													
Recording6	Participant19	G1-2	Entire Recording	1	AF1,AF2,AF3,C1-SDH,C2-ST,C3-LC,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD	IMA	1178141	0	1	151789	310	4	2116	490	47077	116	IMA		4.6441	125227	312	67	2116	401	47243	641	4.64841	166113	1079	67	7166	154	47077	6524	173369	1126	83	7216	154	47077	6524	0			0			272	60984	53601	397.43	483.05													
Recording6	Participant19	G1-2	Entire Recording	1	AF1,AF2,AF3,C1-SDH,C2-ST,C3-LC,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD	IMA	1178141	0	1	134622	329	75	1650	409	828643	225	IMA		4.70417	114367	330	75	1650	347	828643	225	4.71986	149398	1717	133	20281	87	828643	2329	153277	1762	141	20348	87	828592	2379	0			0			264	832121	830972	214.29	298.41													
Recording6	Participant19	G1-2	Entire Recording	1	AF1,AF2,AF3,C1-SDH,C2-ST,C3-LC,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD	SUB	1178141	0	1	83409	253	66	1275	330	472266	130	IMA		4.92839	72648	253	66	1275	287	472412	208	4.93116	91176	930	108	3683	98	472266	530	95253	972	108	3733	98	472266	530	0			0			201	473529	474712	211.92	189.49													
