Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording10	Participant46	G5-2	C1-LC	1	C1-LC	IMA	322320	451575		152504	275	66	1375	555	0	212	IMA	IMA	4.14513	115071	269	66	1375	427	312	125	4.17379	221290	2732	108	33497	81	0	1387	224024	2766	125	33522	81	0	1387	0			0			278	3887	3612	235.44	247.02													
Recording10	Participant46	G5-2	C1-LC	1	C1-LC	SUB	322320	451575		61687	254	66	942	243	3679	208	IMA	IMA	4.11797	53463	257	66	942	208	3679	208	4.13452	74808	874	66	4016	81	3679	208	74242	917	108	4066	81	3612	275	0			0			134	3612	3887	247.02	235.44													
Recording10	Participant46	G5-2	C2-SDH	1	C2-SDH	IMA	314505	57653		93046	290	67	1441	321	119	183	IMA		4.39991	74314	288	67	1441	258	394	550	4.41867	136046	1620	67	11440	90	119	4175	138013	1643	92	11466	84	86	4208	0			0			125	4985	4294	388.15	323.89													
Recording10	Participant46	G5-2	C2-SDH	1	C2-SDH	SUB	314505	57653		60222	194	66	608	311	4344	317	IMA		4.17229	56488	195	66	608	290	4344	317	4.16593	78144	797	67	4966	113	4344	642	81860	835	67	4974	98	4294	692	0			0			151	4294	4985	323.89	388.15													
Recording10	Participant46	G5-2	C3-ST	1	C3-ST	IMA	350631	847247		99643	251	67	2283	397	648	207	IMA		3.86864	68006	235	67	900	290	2788	92	3.87075	143646	1149	67	6674	125	648	207	146170	1169	67	6691	125	648	207	0			0			141	59778	3897	656.21	471.61													
Recording10	Participant46	G5-2	C3-ST	1	C3-ST	SUB	350631	847247		67237	186	66	1183	361	930	83	IMA		3.85576	56471	186	66	1183	303	930	83	3.84404	103625	810	75	3925	128	930	1641	108625	849	92	3966	128	922	1650	0			0			132	3897	86167	471.61	255.24													
Recording10	Participant46	G5-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,PREF (1),SD1	IMA	1281831	0	2	93046	290	67	1441	321	57772	183	IMA		4.39991	74314	288	67	1441	258	58047	550	4.41867	136046	1620	67	11440	84	57772	4175	138013	1643	92	11466	84	57738	4208	0			0			125	62638	61946	388.15	323.89													
Recording10	Participant46	G5-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,PREF (1),SD1	IMA	1281831	0	2	152504	275	66	1375	555	451575	212	IMA		4.14513	115071	269	66	1375	427	451888	125	4.17379	221290	2732	108	33497	81	451575	1387	224024	2766	125	33522	81	451575	1387	0			0			278	455462	455187	235.44	247.02													
Recording10	Participant46	G5-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,PREF (1),SD1	IMA	1281831	0	2	99643	251	67	2283	397	847895	207	IMA		3.86864	68006	235	67	900	290	850035	92	3.87075	143646	1149	67	6674	125	847895	207	146170	1169	67	6691	125	847895	207	0			0			141	907026	851144	656.21	471.61													
Recording10	Participant46	G5-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,PREF (1),SD1	SUB	1281831	0	2	60222	194	66	608	311	61996	317	IMA		4.17229	56488	195	66	608	290	61996	317	4.16593	78144	797	67	4966	98	61996	642	81860	835	67	4974	98	61946	692	0			0			151	61946	62638	323.89	388.15													
