Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording5	Participant34	G9-1	C1-ST	1	C1-ST	IMA	323653	67116		111929	170	13	1150	660	0	13	IMA	IMA	3.6958	100669	166	66	1150	608	72	100	3.70669	209590	3614	67	29089	58	0	9471	211415	3645	100	29105	58	0	9471	0			0			201	17395	21311	31.9	144.51													
Recording5	Participant34	G9-1	C1-ST	1	C1-ST	SUB	323653	67116		43580	162	66	1425	269	10712	142	IMA	IMA	3.99386	41806	160	66	1425	261	10712	142	3.99106	79139	1388	67	6641	57	10712	4008	80741	1417	75	6666	57	10696	4024	0			0			75	21311	17395	144.51	31.9													
Recording5	Participant34	G9-1	C2-LC	1	C2-LC	IMA	314289	539208		136034	238	66	1691	572	0	149	IMA		3.61173	122903	236	66	1691	521	391	67	3.6201	180531	2375	67	90974	76	0	6782	183455	2414	83	91041	76	0	6782	0			0			240	7448	13781	254.98	298.14													
Recording5	Participant34	G9-1	C2-LC	1	C2-LC	SUB	314289	539208		69079	171	66	766	404	6865	350	IMA		3.78017	66430	171	66	766	389	6865	350	3.7766	111987	1521	67	6083	71	6865	583	110205	1552	83	6124	71	6832	617	0			0			116	13781	7448	298.14	254.98													
Recording5	Participant34	G9-1	C3-SDH	1	C3-SDH	IMA	350665	950861		81818	192	66	883	427	0	113	IMA		3.59176	72359	190	67	883	381	538	167	3.59582	110532	970	67	5775	114	0	704	115156	1010	83	5799	114	0	704	0			0			146	9120	3587	310.25	451.1													
Recording5	Participant34	G9-1	C3-SDH	1	C3-SDH	SUB	350665	950861		100202	137	66	550	730	779	83	IMA		3.68151	97776	137	66	550	714	779	83	3.67942	193115	1694	67	7333	121	779	2083	197374	1731	92	7374	114	762	2100	0			0			187	3587	9120	451.1	310.25													
Recording5	Participant34	G9-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	IMA	1417480	0	1	136034	238	66	1691	572	539208	149	IMA		3.61173	122903	236	66	1691	521	539599	67	3.6201	180531	2375	67	90974	76	539208	6782	183455	2414	83	91041	76	539208	6782	0			0			240	546656	552989	254.98	298.14													
Recording5	Participant34	G9-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	IMA	1417480	0	1	111929	170	13	1150	660	67116	13	IMA		3.6958	100669	166	66	1150	608	67188	100	3.70669	209590	3614	67	29089	58	67116	9471	211415	3645	100	29105	58	67116	9471	0			0			201	84512	88428	31.9	144.51													
Recording5	Participant34	G9-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	IMA	1417480	0	1	81818	192	66	883	427	950861	113	IMA		3.59176	72359	190	67	883	381	951398	167	3.59582	110532	970	67	5775	114	950861	704	115156	1010	83	5799	114	950861	704	0			0			146	959980	954448	310.25	451.1													
Recording5	Participant34	G9-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,pref,SD1	SUB	1417480	0	1	69079	171	66	766	404	546073	350	IMA		3.78017	66430	171	66	766	389	546073	350	3.7766	107981	1521	67	6083	71	546073	583	110205	1552	83	6124	71	546039	617	0			0			116	552989	546656	298.14	254.98													
