Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording4	Participant13	G4-2	E1-LC	1	E1-LC	IMA	280262	805816		73907	232	66	1758	318	0	177	IMA		4.39706	66215	241	66	1758	275	518	183	4.39385	130513	4834	167	58344	92	0	10434	131179	4858	192	58361	27	0	10434	0			0			111	47788	14750	435.38	293.54													
Recording4	Participant13	G4-2	E1-LC	1	E1-LC	SUB	280262	805816		27231	142	66	608	193	10667	242	IMA		3.91583	11423	146	66	608	78	10667	242	3.95281	32463	1099	66	4425	85	10667	1891	28671	1147	75	4508	25	10633	1925	0			0			22	14750	47788	293.54	435.38													
Recording4	Participant13	G4-2	E2-SDH	1	E2-SDH	IMA	270230	504125		93479	202	66	1291	463	0	143	IMA	IMA	3.42604	80712	201	66	1291	401	452	333	3.45634	149558	2232	67	14599	67	0	1368	151590	2263	92	14615	67	0	1368	0			0			168	1968	3260	392.71	226.96													
Recording4	Participant13	G4-2	E2-SDH	1	E2-SDH	SUB	270230	504125		31163	132	66	450	236	1743	225	IMA	IMA	3.46118	27355	133	66	450	205	1743	225	3.48495	60070	953	75	4258	66	1743	225	62378	990	92	4291	63	1718	250	0			0			51	3260	1968	226.96	392.71													
Recording4	Participant13	G4-2	E3-ST	1	E3-ST	IMA	292826	156760		164889	246	19	1383	671	0	19	IMA	IMA	3.99836	140937	247	66	1383	571	828	908	4.00586	221275	4339	83	26430	51	0	9793	222599	4365	100	26472	51	0	9793	0			0			297	41740	9793	276.04	271.38													
Recording4	Participant13	G4-2	E3-ST	1	E3-ST	SUB	292826	156760		16923	128	66	308	132	9885	67	IMA	IMA	3.83062	15324	129	66	308	119	9885	67	3.82688	26938	550	75	2942	49	9885	225	29497	602	83	2950	49	9793	317	0			0			31	9793	41740	271.38	276.04													
Recording4	Participant13	G4-2	Entire Recording	1	AF1,AF2,AF3,E1-LC,E2-SDH,E3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1164546	0	F2	93479	202	66	1291	463	504125	143	IMA		3.42604	80712	201	66	1291	401	504577	333	3.45634	149558	2232	67	14599	67	504125	1368	151590	2263	92	14615	67	504125	1368	0			0			168	506094	507385	392.71	226.96													
Recording4	Participant13	G4-2	Entire Recording	1	AF1,AF2,AF3,E1-LC,E2-SDH,E3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1164546	0	F2	164889	246	19	1383	671	156760	19	IMA		3.99836	140937	247	66	1383	571	157588	908	4.00586	221275	4339	83	26430	51	156760	9793	222599	4365	100	26472	51	156760	9793	0			0			297	198500	166554	276.04	271.38													
Recording4	Participant13	G4-2	Entire Recording	1	AF1,AF2,AF3,E1-LC,E2-SDH,E3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1164546	0	F2	73907	232	66	1758	318	805816	177	IMA		4.39706	66215	241	66	1758	275	806334	183	4.39385	130513	4834	167	58344	27	805816	10434	131179	4858	192	58361	27	805816	10434	0			0			111	853604	820566	435.38	293.54													
Recording4	Participant13	G4-2	Entire Recording	1	AF1,AF2,AF3,E1-LC,E2-SDH,E3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	SUB	1164546	0	F2	31163	132	66	450	236	505869	225	IMA		3.46118	27355	133	66	450	205	505869	225	3.48495	60070	953	75	4258	63	505869	225	62378	990	92	4291	63	505844	250	0			0			51	507385	506094	226.96	392.71													
Recording4	Participant13	G4-2	Entire Recording	1	AF1,AF2,AF3,E1-LC,E2-SDH,E3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	SUB	1164546	0	F2	16923	128	66	308	132	166645	67	IMA		3.83062	15324	129	66	308	119	166645	67	3.82688	26938	550	75	2942	49	166645	225	29497	602	83	2950	49	166554	317	0			0			31	166554	198500	271.38	276.04													
Recording4	Participant13	G4-2	Entire Recording	1	AF1,AF2,AF3,E1-LC,E2-SDH,E3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	SUB	1164546	0	F2	13231	142	66	608	93	816483	242	IMA		3.91583	11423	146	66	608	78	816483	242	3.95281	27463	1099	66	4425	25	816483	1891	28671	1147	75	4508	25	816449	1925	0			0			22	820566	853604	293.54	435.38													
Recording2	Participant4	G4-2	E1-LC	1	E1-LC	IMA	280311	69575		83817	222	66	1741	377	436	67	IMA		3.86814	69001	215	66	1741	321	803	192	3.86068	121352	2477	100	23114	80	436	1708	122818	2506	142	23131	49	403	1741	0			0			116	17634	2144	210.57	388.39													
Recording2	Participant4	G4-2	E1-LC	1	E1-LC	SUB	280311	69575		90337	267	75	1675	343	2194	158	IMA		3.5709	65254	264	75	1675	247	2194	158	3.55659	93317	1041	83	5449	109	2194	542	85975	1075	92	5483	80	2144	592	0			0			107	2144	17634	388.39	210.57													
Recording2	Participant4	G4-2	E2-SDH	1	E2-SDH	IMA	270247	385029		99591	231	66	1958	431	2024	450	SUB		3.50447	94183	235	66	1958	401	2024	450	3.50218	127723	1451	75	9141	88	2024	942	130790	1486	92	9199	88	1949	1017	0			0			166	1949	2966	188.45	319.33													
Recording2	Participant4	G4-2	E2-SDH	1	E2-SDH	SUB	270247	385029		74397	223	67	1783	333	1633	317	SUB		3.51848	71114	224	67	1783	318	1633	317	3.51571	84467	820	108	3658	103	1633	317	88483	859	125	3700	103	1617	333	0			0			175	2966	1949	319.33	188.45													
