Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording12	Participant44	G6-2	C1-LC	1	C1-LC	IMA	322320	985779		18473	118	66	425	156	836	100	IMA		2.6754	11973	117	66	400	102	836	100	2.72292	272565	19469	75	241530	14	836	3425	272806	19486	92	241538	14	820	3441	0			0			14																	
Recording12	Participant44	G6-2	C1-LC	1	C1-LC	SUB	322320	985779		334	83	67	109	4	4527	109	IMA		2.89884	334	83	67	109	4	4527	109	2.89884	450	150	75	292	3	4527	292	492	164	92	309	3	4511	309	0			0			0																	
Recording12	Participant44	G6-2	C2-SDH	1	C2-SDH	IMA	314505	67793		30475	145	66	633	210	18	167	IMA	IMA	2.56351	19567	145	66	500	135	18	167	2.61461	190684	6151	67	73301	31	18	3767	191262	6170	108	73334	31	0	3785	0			0			29																	
Recording12	Participant44	G6-2	C2-SDH	1	C2-SDH	SUB	314505	67793		325	81	67	100	4	26591	67	IMA	IMA	2.58568	325	81	67	100	4	26591	67	2.58568	325	81	67	100	4	26591	67	441	110	92	133	4	26566	92	0			0			0																	
Recording12	Participant44	G6-2	C3-ST	1	C3-ST	IMA	350631	496175		11333	142	66	583	80	3462	67	IMA		2.52827	6585	137	66	583	48	4879	125	2.55043	248498	22591	67	131330	11	3462	67	248740	22613	108	131364	11	3421	108	0			0			10																	
Recording12	Participant44	G6-2	C3-ST	1	C3-ST	SUB	350631	496175		117	117	117	117	1	7512	117	IMA		2.28694	117	117	117	117	1	7512	117	2.28694	117	117	117	117	1	7512	117	167	167	167	167	1	7462	167	0			0			0																	
Recording12	Participant44	G6-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1413613	0	1	11333	142	66	583	80	499637	67	IMA		2.52827	6585	137	66	583	48	501054	125	2.55043	248498	22591	67	131330	11	499637	67	248740	22613	108	131364	11	499596	108	0			0			10																	
Recording12	Participant44	G6-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1413613	0	1	18473	118	66	425	156	986615	100	IMA		2.6754	11973	117	66	400	102	986615	100	2.72292	272565	19469	75	241530	14	986615	3425	272806	19486	92	241538	14	986599	3441	0			0			14																	
Recording12	Participant44	G6-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	IMA	1413613	0	1	30475	145	66	633	210	67812	167	IMA		2.56351	19567	145	66	500	135	67812	167	2.61461	190684	6151	67	73301	31	67812	3767	191277	6170	108	73334	31	67778	3800	0			0			29																	
Recording12	Participant44	G6-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	SUB	1413613	0	1	117	117	117	117	1	503687	117	IMA		2.28694	117	117	117	117	1	503687	117	2.28694	117	117	117	117	1	503687	117	167	167	167	167	1	503637	167	0			0			0																	
Recording12	Participant44	G6-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	SUB	1413613	0	1	334	83	67	109	4	990306	109	IMA		2.89884	334	83	67	109	4	990306	109	2.89884	450	150	75	292	3	990306	292	492	164	92	309	3	990290	309	0			0			0																	
Recording12	Participant44	G6-2	Entire Recording	1	AF1,AF2,AF3,C1-LC,C2-SDH,C3-ST,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,pref (1),SD1	SUB	1413613	0	1	325	81	67	100	4	94384	67	IMA		2.58568	325	81	67	100	4	94384	67	2.58568	325	81	67	100	4	94384	67	441	110	92	133	4	94359	92	0			0			0																	
Recording15	Participant49	G6-1	E1-LC	1	E1-LC	IMA	280262	118027		231572	424	38	3483	546	0	38	IMA	IMA	3.69437	176377	402	67	3483	439	629	133	3.69323	270638	11767	142	66729	101	0	10653	271570	11807	183	66746	23	0	10653	0			0			384	11828	10653	294.16	320.09													
